a_id,hp_hits,total_hits,share
41403,115.0,128,0.8984375
41431,115.0,128,0.8984375
41465,2.0,4,0.5
41605,26.0,73,0.3561643835616438
41688,43.0,83,0.5180722891566265
41689,20.0,70,0.2857142857142857
41692,109.0,124,0.8790322580645161
41705,12.0,15,0.8
41731,204.0,417,0.4892086330935252
41804,36.0,84,0.42857142857142855
41854,31.0,94,0.32978723404255317
41881,111.0,128,0.8671875
41882,128.0,144,0.8888888888888888
41885,122.0,135,0.9037037037037037
41927,1.0,3,0.3333333333333333
42023,470.0,525,0.8952380952380953
42039,10.0,32,0.3125
42145,113.0,127,0.889763779527559
42146,50.0,112,0.44642857142857145
42150,48.0,92,0.5217391304347826
42162,98.0,109,0.8990825688073395
42169,7.0,9,0.7777777777777778
42170,8.0,14,0.5714285714285714
42250,5.0,18,0.2777777777777778
42263,50.0,115,0.43478260869565216
42264,624.0,1540,0.4051948051948052
42266,28.0,87,0.3218390804597701
42276,267.0,297,0.898989898989899
42335,128.0,144,0.8888888888888888
42387,18.0,45,0.4
42412,127.0,144,0.8819444444444444
42413,127.0,144,0.8819444444444444
42414,131.0,147,0.891156462585034
42415,7104.0,22618,0.31408612609426123
42447,99.0,115,0.8608695652173913
42448,409.0,456,0.8969298245614035
42495,7615.0,9927,0.767099828749874
42702,140.0,154,0.9090909090909091
42716,110.0,124,0.8870967741935484
42728,134.0,149,0.8993288590604027
42810,120.0,133,0.9022556390977443
42811,110.0,122,0.9016393442622951
42812,121.0,134,0.9029850746268657
42813,115.0,130,0.8846153846153846
42820,16.0,50,0.32
42823,40.0,91,0.43956043956043955
42870,260.0,290,0.896551724137931
42945,23002.0,40653,0.5658131011241483
42963,776.0,1013,0.7660414610069102
42965,2159.0,5347,0.4037778193379465
42966,57.0,113,0.504424778761062
43145,490.0,1385,0.35379061371841153
43261,2769.0,9226,0.3001300672013874
43438,143.0,159,0.89937106918239
43442,37.0,88,0.42045454545454547
43497,120.0,140,0.8571428571428571
43662,93.0,126,0.7380952380952381
43898,33.0,90,0.36666666666666664
43901,23.0,66,0.3484848484848485
43920,440.0,1312,0.3353658536585366
43923,584.0,1313,0.44478293983244477
44008,45.0,97,0.4639175257731959
44069,31.0,80,0.3875
44087,47.0,79,0.5949367088607594
44170,111.0,125,0.888
44305,3.0,6,0.5
44326,26.0,73,0.3561643835616438
44367,3052.0,4986,0.6121139189731247
44380,40.0,84,0.47619047619047616
44446,114.0,128,0.890625
44454,30.0,87,0.3448275862068966
44495,126.0,139,0.9064748201438849
44678,4.0,14,0.2857142857142857
44680,6872.0,9959,0.690029119389497
44755,45155.0,52636,0.8578729386731515
44764,9125.0,30392,0.3002434851276652
44791,26.0,85,0.3058823529411765
44901,40.0,96,0.4166666666666667
44902,31.0,89,0.34831460674157305
44938,22.0,70,0.3142857142857143
44940,109.0,125,0.872
44946,156.0,384,0.40625
45015,115.0,128,0.8984375
45047,111.0,128,0.8671875
45048,124.0,142,0.8732394366197183
45353,37.0,92,0.40217391304347827
45354,120.0,134,0.8955223880597015
45542,121.0,135,0.8962962962962963
45570,108.0,121,0.8925619834710744
45598,2097.0,5778,0.3629283489096573
45822,438.0,579,0.7564766839378239
45848,27.0,63,0.42857142857142855
45855,4.0,5,0.8
46005,113.0,128,0.8828125
46006,103.0,114,0.9035087719298246
46030,914.0,3571,0.25595071408569026
46470,111.0,123,0.9024390243902439
46539,126.0,139,0.9064748201438849
46618,30.0,76,0.39473684210526316
46679,124.0,141,0.8794326241134752
46747,600.0,2274,0.2638522427440633
46800,1186.0,1921,0.6173867777199376
46922,475.0,761,0.6241787122207622
46942,615.0,932,0.6598712446351931
46985,309.0,923,0.3347778981581798
47000,101.0,113,0.8938053097345132
47064,118.0,132,0.8939393939393939
47115,9412.0,10533,0.8935725814108041
47116,341.0,926,0.36825053995680346
47171,18.0,25,0.72
47201,4.0,6,0.6666666666666666
47295,27.0,76,0.35526315789473684
47312,18.0,22,0.8181818181818182
47344,1180787.0,4562620,0.25879582345231467
47370,21.0,54,0.3888888888888889
47375,29.0,81,0.35802469135802467
47454,27.0,73,0.3698630136986301
47457,27.0,64,0.421875
47514,59.0,118,0.5
47517,22.0,66,0.3333333333333333
47526,5.0,18,0.2777777777777778
47666,13.0,47,0.2765957446808511
47677,116.0,132,0.8787878787878788
47831,2.0,7,0.2857142857142857
47882,23.0,69,0.3333333333333333
47883,51.0,93,0.5483870967741935
47918,105.0,118,0.8898305084745762
47921,200.0,398,0.5025125628140703
47934,23.0,78,0.2948717948717949
48300,2821315.0,3359111,0.8398993066915621
48388,29.0,79,0.3670886075949367
48510,291.0,325,0.8953846153846153
48546,5.0,14,0.35714285714285715
48563,3356.0,3877,0.8656177456796492
48569,492.0,658,0.7477203647416414
48570,225.0,430,0.5232558139534884
48574,516.0,585,0.882051282051282
48827,461.0,603,0.7645107794361525
48831,29.0,76,0.3815789473684211
48910,7.0,17,0.4117647058823529
48927,21.0,74,0.28378378378378377
48929,53.0,108,0.49074074074074076
48988,400.0,516,0.7751937984496124
49214,33.0,84,0.39285714285714285
49232,40.0,78,0.5128205128205128
49311,27.0,69,0.391304347826087
49312,31.0,86,0.36046511627906974
49359,31.0,84,0.36904761904761907
49403,210.0,441,0.47619047619047616
49406,497.0,663,0.7496229260935143
49418,21.0,69,0.30434782608695654
49463,2309.0,5544,0.41648629148629146
49644,101.0,115,0.8782608695652174
49656,15.0,17,0.8823529411764706
49720,26.0,70,0.37142857142857144
49767,1.0,2,0.5
49777,24.0,66,0.36363636363636365
49778,22.0,55,0.4
49817,110.0,123,0.8943089430894309
49916,26.0,64,0.40625
50014,424.0,474,0.8945147679324894
50090,429.0,500,0.858
50119,6.0,22,0.2727272727272727
50171,130.0,146,0.8904109589041096
50177,58.0,107,0.5420560747663551
50276,197.0,395,0.49873417721518987
50395,1.0,3,0.3333333333333333
50428,103.0,118,0.8728813559322034
50454,27.0,67,0.40298507462686567
50686,33.0,88,0.375
50687,5834.0,8375,0.6965970149253732
50688,38.0,81,0.4691358024691358
50689,36.0,75,0.48
50773,34.0,84,0.40476190476190477
50846,93.0,189,0.49206349206349204
50975,20.0,73,0.273972602739726
50978,28.0,66,0.42424242424242425
51377,42.0,109,0.3853211009174312
51379,41.0,87,0.47126436781609193
51386,30.0,79,0.379746835443038
51387,39.0,79,0.4936708860759494
51390,26.0,69,0.37681159420289856
51453,590.0,929,0.635091496232508
51530,217.0,426,0.5093896713615024
51533,413.0,541,0.7634011090573013
51573,8137.0,11002,0.739592801308853
51686,26.0,76,0.34210526315789475
51697,11.0,13,0.8461538461538461
51846,33.0,87,0.3793103448275862
51851,33.0,83,0.39759036144578314
51915,9.0,10,0.9
51930,950.0,3598,0.264035575319622
51934,1686.0,6474,0.26042632066728455
51935,50.0,107,0.4672897196261682
52153,26.0,81,0.32098765432098764
