a_id,role,is_bot,is_control,a_totalhit,a_start,a_last
2,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
5,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
10,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
12,ctrl_hpneg,False,True,,2019-03-10,2023-03-04
14,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
16,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
23,ctrl_hpneg,False,True,,2019-03-10,2023-02-16
25,ctrl_white,False,True,,2019-03-10,2023-02-28
29,ctrl_white,False,True,,2019-03-10,2023-03-01
31,ctrl_white,False,True,,2019-03-10,2023-02-16
32,ctrl_white,False,True,,2019-03-10,2023-03-05
35,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
40,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
42,ctrl_white,False,True,,2019-03-10,2023-03-05
43,ctrl_hpneg,False,True,,2019-03-10,2022-02-25
44,ctrl_hpneg,False,True,,2019-03-10,2023-03-03
45,ctrl_hpneg,False,True,,2019-03-10,2022-09-28
46,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
47,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
48,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
49,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
50,ctrl_white,False,True,,2019-03-10,2023-03-05
51,ctrl_white,False,True,,2019-03-10,2023-03-05
52,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
53,ctrl_white,False,True,,2019-03-10,2023-03-05
54,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
55,ctrl_white,False,True,,2019-03-10,2023-03-05
57,ctrl_white,False,True,,2019-03-10,2023-03-05
58,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
61,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
66,ctrl_white,False,True,,2019-03-10,2023-03-05
71,ctrl_hpneg,False,True,,2019-03-10,2023-03-01
73,ctrl_hpneg,False,True,,2019-03-10,2022-10-08
74,ctrl_hpneg,False,True,,2019-03-10,2023-03-02
77,ctrl_hpneg,False,True,,2019-03-10,2023-02-28
79,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
81,ctrl_hpneg,False,True,,2019-03-10,2023-03-04
92,ctrl_hpneg,False,True,,2019-03-10,2023-03-01
93,ctrl_white,False,True,,2019-03-10,2023-03-05
94,ctrl_hpneg,False,True,,2019-03-10,2022-07-04
95,ctrl_hpneg,False,True,,2019-03-10,2023-03-04
99,ctrl_white,False,True,,2019-03-10,2023-03-01
101,ctrl_white,False,True,,2019-03-10,2023-03-05
102,ctrl_white,False,True,,2019-03-10,2023-03-05
110,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
112,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
113,ctrl_white,False,True,,2019-03-10,2023-03-04
115,ctrl_white,False,True,,2019-03-10,2023-03-05
117,ctrl_white,False,True,,2019-03-10,2023-03-05
120,ctrl_white,False,True,,2019-03-10,2022-02-15
132,ctrl_hpneg,False,True,,2019-03-10,2023-02-16
136,ctrl_white,False,True,,2019-03-10,2023-03-05
137,ctrl_white,False,True,,2019-03-10,2023-03-05
138,ctrl_white,False,True,,2019-03-10,2023-03-05
150,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
155,ctrl_white,False,True,,2019-03-10,2023-03-01
159,ctrl_hpneg,False,True,,2019-03-10,2023-03-04
163,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
167,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
174,ctrl_hpneg,False,True,,2019-03-10,2023-02-22
175,ctrl_hpneg,False,True,,2019-03-10,2023-02-25
180,ctrl_hpneg,False,True,,2019-03-10,2022-02-01
181,ctrl_white,False,True,,2019-03-10,2023-03-05
183,ctrl_white,False,True,,2019-03-10,2023-02-25
187,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
188,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
189,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
192,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
193,ctrl_hpneg,False,True,,2019-03-10,2023-02-22
195,ctrl_white,False,True,,2019-03-10,2023-03-05
204,ctrl_hpneg,False,True,,2019-03-10,2022-08-31
206,ctrl_hpneg,False,True,,2019-03-10,2022-06-08
207,ctrl_hpneg,False,True,,2019-03-10,2023-03-05
210,ctrl_hpneg,False,True,,2019-03-10,2021-05-05
