label,feature,n_agents,mean_delta,ci_lo,ci_hi,sig
bot,evasion_index,129,0.002009043620127854,-0.018278081102157746,0.01927334225789735,0
bot,ip_ent,129,-0.00037185431974808594,-0.0213739491767017,0.017541774864243773,0
bot,dom_ent,129,0.005099620973061636,-0.01287153453891879,0.020948496805220294,0
bot,ctry_ent,129,0.0012993642070700103,-0.021293899649936093,0.01927162015290665,0
bot,compliance,129,0.003208190472709869,-0.0017979195717042968,0.008428858903114575,0
bot,request_diversity,129,-0.0017641942951290889,-0.024857032436677085,0.018526595974379962,0
bot,log_hits,129,-0.08869127373432421,-0.2628503480181691,0.09132738340744145,0
bot,resistance,129,0.017165848934287783,0.003950641424179571,0.029464124793163515,1
human,evasion_index,173,0.004783438863633935,-0.0021365977586866396,0.011721015361290698,0
human,ip_ent,173,0.005065796033280603,-0.001708708684200076,0.011977921049295922,0
human,dom_ent,173,0.0057915692368633595,-0.0014245697983191836,0.012929224854435943,0
human,ctry_ent,173,0.0034929513207578476,-0.0037615833446024874,0.010846778723970565,0
human,compliance,173,0.00034420925985698754,-2.0491837965947232e-05,0.0008850754858150375,0
human,request_diversity,173,0.0002624561825336865,-0.007726046478273425,0.008037470807859388,0
human,log_hits,173,-0.057061419107913354,-0.09479649148402082,-0.020350848187092898,1
human,resistance,173,0.036503275881357204,0.02917402022851265,0.044192758593573314,1
chrome,evasion_index,1141,0.013095991515755388,0.009331587290199455,0.016663118936603345,1
chrome,ip_ent,1141,0.012037804237028278,0.008184797966835553,0.015656146110902734,1
chrome,dom_ent,1141,0.014705432675741927,0.010893432795617063,0.018300814160049375,1
chrome,ctry_ent,1141,0.012544737634495966,0.008808101849476587,0.01611055965882197,1
chrome,compliance,1141,7.722339006057134e-05,-0.00028297312080064174,0.0003965867098295663,0
chrome,request_diversity,1141,-0.0022587290752524225,-0.0055725834754393406,0.0007798650082468921,0
chrome,log_hits,1141,-0.0968601253055024,-0.12088161293941745,-0.0731482212814072,1
chrome,resistance,1141,0.043142067770154925,0.04064825215793217,0.04568218596156286,1
pothuman,evasion_index,1781,0.006389388726707751,0.0019384226339200963,0.01101349179324291,1
pothuman,ip_ent,1781,0.006470488121706639,0.001970220791091723,0.011235740390939226,1
pothuman,dom_ent,1781,0.007712470952051024,0.0032622050668323133,0.01247100075209149,1
pothuman,ctry_ent,1781,0.004985207106365593,0.0005631870062373326,0.009570883748957459,1
pothuman,compliance,1781,0.0003492582593616698,3.6307738729820605e-05,0.0006505373365141118,1
pothuman,request_diversity,1781,-0.0033341731148683056,-0.008029817244423696,0.0013016070901150695,0
pothuman,log_hits,1781,-0.005774976919232042,-0.02922949432600625,0.017979469081296672,0
pothuman,resistance,1781,0.06332889365930479,0.059818576052996,0.06700420789776028,1
