a_id,n_events,n_retreat,n_stealth,verified,verified_stealth
41546,15,2,13,-0.019322379851094595,-0.24572122948834327
41731,2,0,2,-0.9412468764347468,-0.9412468764347468
41805,6,1,5,0.07003062614839158,0.22573254301646214
42264,1,0,1,-0.001448922046245471,-0.001448922046245471
42367,7,0,7,0.012842316670580667,0.012842316670580667
42415,1,0,1,0.07484996823403733,0.07484996823403733
42945,9,3,6,0.09488988847338063,0.11398940836965406
42963,4,1,3,-0.16741970368124487,-0.39790396028748654
42965,8,1,7,-0.40146407519710775,-0.5141862887320138
43145,1,0,1,-0.8222116140558069,-0.8222116140558069
43261,11,3,8,0.4448971139551335,0.3291480433727136
43662,1,1,0,0.5308280979400717,
43920,1,0,1,-0.27729757727796445,-0.27729757727796445
43923,1,0,1,1.5703885866644518,1.5703885866644518
44367,5,0,5,0.05144636252959769,0.05144636252959769
44680,1,1,0,-0.17189436158380778,
44737,12,2,10,-0.011655729103183993,0.012128630415619101
44755,5,0,5,-0.12161652802062486,-0.12161652802062486
44764,5,0,5,-0.37277382642481943,-0.37277382642481943
44870,21,5,16,-0.0733965038321614,-0.40525229584497074
44946,1,0,1,-0.1589926919542397,-0.1589926919542397
45598,6,0,6,-0.18746313923130406,-0.18746313923130406
46016,12,0,12,-0.017012015475657578,-0.017012015475657578
46030,1,0,1,-0.2499022183166799,-0.2499022183166799
46093,3,0,3,-0.25745731681582606,-0.25745731681582606
46747,4,0,4,0.4268922265506355,0.4268922265506355
46800,3,0,3,-0.1787154491475141,-0.1787154491475141
46942,1,1,0,3.630623030786703,
46985,12,0,12,-0.15900652087851316,-0.15900652087851316
47116,13,4,9,-0.3629479860000738,-1.0828484911309957
47752,22,2,20,0.020562462825615947,0.025387056810607073
47921,2,0,2,-1.545494899241299,-1.545494899241299
48389,19,3,16,-0.056804966370102156,-0.012697996478882215
48570,2,0,2,-1.9470449187385617,-1.9470449187385617
48832,15,1,14,0.05779527832000191,0.11470902156917838
49403,2,0,2,-0.9572045654912608,-0.9572045654912608
49406,1,0,1,0.5997808291492,0.5997808291492
49463,17,2,15,-1.4357883896127621,-1.7443209323257058
49819,16,1,15,0.0759738869724288,0.04731161904037788
50276,2,0,2,-2.0005530592805547,-2.0005530592805547
50314,12,0,12,0.04880422984563065,0.04880422984563065
50687,10,1,9,-0.13180480982305437,-0.24523138588193344
50975,1,0,1,-0.11060248111040716,-0.11060248111040716
51530,2,0,2,-0.905690011856507,-0.905690011856507
51853,6,0,6,-0.014966029940830758,-0.014966029940830758
51930,2,0,2,-0.22306697204712012,-0.22306697204712012
51934,2,0,2,-0.21545318134930047,-0.21545318134930047
52161,7,1,6,2.2462681214492095,2.6115345628846485
52241,21,3,18,0.00685803119229408,-0.039043806230316586
52275,19,4,15,-0.13738260813656297,-0.3401422913449767
52842,19,1,18,0.0853473046985253,-0.012469520198092221
52917,1,0,1,-0.05612844666946293,-0.05612844666946293
53030,1,0,1,-0.5111464394523679,-0.5111464394523679
53726,2,1,1,0.3222070959992256,0.14339931464276745
53777,1,0,1,-0.18961836859577064,-0.18961836859577064
54308,10,3,7,-0.2464720918101951,-0.7768042559497089
54728,20,1,19,-0.010051100431112514,0.026879129457247967
54730,22,1,21,-0.02921806046536994,-0.08219980340838619
54765,1,0,1,-0.07087883563493413,-0.07087883563493413
55115,3,1,2,0.8574608379191977,0.3417517316803327
55369,6,0,6,0.419078074803249,0.419078074803249
55456,19,3,16,-0.3595319297478378,-0.5903812643182442
55497,4,0,4,0.40050222350210923,0.40050222350210923
55646,9,1,8,0.022414427986309216,0.12079189944275176
55653,2,0,2,-0.7362291578957298,-0.7362291578957298
55820,18,5,13,0.3021417766904662,0.016708529322820513
55827,1,0,1,-0.2470485608792049,-0.2470485608792049
56507,3,0,3,0.28711039621769224,0.28711039621769224
57313,2,0,2,0.3753130162832299,0.3753130162832299
57402,19,0,19,-0.3840014807381041,-0.3840014807381041
57429,49,5,44,0.015182325856634217,-0.07229704457165073
58077,16,4,12,0.06099692636959708,-0.3034080818687889
58231,14,1,13,-0.1745026900521227,-0.29374635130452537
58444,1,0,1,0.5334322594315752,0.5334322594315752
59451,3,1,2,-0.9494098332104883,-1.5609017586354341
59767,1,0,1,0.12943554134256519,0.12943554134256519
61758,1,0,1,-0.6007500577691971,-0.6007500577691971
66572,1,0,1,-0.34803230634539384,-0.34803230634539384
67491,1,1,0,1.026783663200081,
73825,1,0,1,0.22449379478890563,0.22449379478890563
74354,3,0,3,-0.5199990483989024,-0.5199990483989024
76011,3,1,2,-0.3710935918346215,-0.8572729903034014
77331,2,0,2,-0.5566925338002267,-0.5566925338002267
77334,2,0,2,-1.6244490373446385,-1.6244490373446385
77335,3,0,3,-1.3707990099608278,-1.3707990099608278
77835,9,1,8,0.05601892218274698,-0.14541084401421725
78821,1,1,0,0.2620134608264437,
78967,2,0,2,0.518783235794593,0.518783235794593
