group,t,n_risk,d,S,var_greenwood,lo,hi
bot,1,2573,309,0.879906723668869,4.1069133817017325e-05,0.8667185679529098,0.8918724584008194
bot,2,2264,252,0.7819665759813447,6.62630586977678e-05,0.7655072776966184,0.7974281168626333
bot,3,2012,193,0.7069568596968518,8.051646258236202e-05,0.6889568642610874,0.7241331546900749
bot,4,1819,184,0.6354450058297706,9.00328994931105e-05,0.616521934715964,0.6537124297060234
bot,5,1635,162,0.5724834823163621,9.512092685242657e-05,0.5531192779707714,0.5913420430133426
bot,6,1473,135,0.5200155460551884,9.700714260245338e-05,0.5005275093764164,0.539124664844681
bot,7,1338,136,0.46715895841430227,9.674367119610041e-05,0.4477630265289001,0.48630549588237015
bot,8,1202,143,0.41158181111542935,9.412445545059165e-05,0.3925187808582124,0.43053402253989526
bot,9,1059,150,0.35328410415856965,8.87969086309547e-05,0.33484189268120473,0.37176406079735497
bot,10,909,119,0.30703458997279426,8.269115838827526e-05,0.2892992119925371,0.3249284731122421
bot,11,790,127,0.25767586474931975,7.434085249708896e-05,0.2409304201875679,0.274712298197103
bot,12,663,183,0.18655266226195094,5.8978144759008664e-05,0.17175321214339115,0.20184307109879435
bot,13,480,191,0.11232024873688295,3.875025668891086e-05,0.1004827625510837,0.12487638733271257
control,1,1251,116,0.9072741806554756,6.724839470136772e-05,0.8898156447254721,0.9220883986453698
control,2,1135,96,0.8305355715427658,0.00011250698316938225,0.808575528782563,0.8502139424249077
control,3,1039,98,0.7521982414068745,0.00014899763951341317,0.7273078774225076,0.7751787925283805
control,4,941,84,0.6850519584332534,0.00017246664482815146,0.6585181824861571,0.7099978817949242
control,5,857,91,0.6123101518784972,0.00018975733795765704,0.5847022361105874,0.6386833612116718
control,6,766,81,0.5475619504396483,0.0001980318632057366,0.5195370098557818,0.5746711418458463
control,7,685,72,0.49000799360511593,0.00019976031959089097,0.4620109134998956,0.5173772285072984
control,8,613,66,0.4372501998401279,0.00019669261597113997,0.4096035567886404,0.46453724095826276
control,9,547,97,0.3597122302158273,0.00018410818676977054,0.3331638249807914,0.38630460544828904
control,10,450,91,0.2869704236610711,0.00016356386858901392,0.2621462150763807,0.31223049277537607
control,11,359,67,0.23341326938449236,0.00014303078741785349,0.21036407636653542,0.2571982396690642
control,12,292,94,0.15827338129496402,0.00010649313994278413,0.13865641291085756,0.1790716891110942
control,13,198,91,0.08553157474020784,6.252272139302005e-05,0.07087019199209116,0.10185632715750124
