group,month,agent_months,active_days,hits,block_rate,robots_rate,success_rate
bot,2019-03,363,685,41211.0,0.0002426536604304676,0.00014559219625828057,0.9747640193152314
bot,2019-04,1788,7091,330972.0,0.0005166600195786955,0.001275032329018769,0.9342935354048076
bot,2019-05,4291,21315,734738.0,0.001170485261412912,0.003044622709047307,0.8867174421358361
bot,2019-06,4206,24908,538978.0,0.0020149245423746426,0.007532774992671315,0.8862161349813907
bot,2019-07,4438,21397,370106.0,0.0019588982615791153,0.0058442716410974154,0.8669624377880931
bot,2019-08,4253,21429,378457.0,0.0010437117030468455,0.01230522886351686,0.8921356983752448
bot,2019-09,5007,27615,491822.0,0.0008234686532932646,0.02010686793189406,0.8782872665313873
bot,2019-10,4907,37748,763815.0,0.0009688209841388295,0.020240503263224734,0.8589697767129475
bot,2019-11,4646,35763,625928.0,0.003653774875065503,0.020959279661558517,0.8592122416635779
bot,2019-12,5298,30442,462289.0,0.0021566595787483587,0.02363672940519891,0.8565615880974888
bot,2020-01,6048,42781,685499.0,0.0020423078662405053,0.017238537182402893,0.8444257394977965
bot,2020-02,8251,51757,895114.0,0.002003096812249613,0.019455622412340775,0.8587621241540184
bot,2020-03,7249,55901,1159863.0,0.0038047597000680253,0.021387008638089153,0.8696561576668969
bot,2020-04,8689,67704,1209483.0,0.0034262573347455067,0.017084985898933678,0.8355313799367168
bot,2020-05,8765,77418,1266425.0,0.0038044100519178,0.015148153266083661,0.8578620921096788
bot,2020-06,7674,82867,1132111.0,0.003811463716897018,0.017983218959978307,0.8581640846171444
bot,2020-07,11840,108896,1468560.0,0.005311325379964047,0.017676499428011114,0.843095957945198
bot,2020-08,12036,174037,1389973.0,0.009363491233282948,0.019966574890303623,0.7366171860892262
bot,2020-09,12902,212805,2178319.0,0.0031097373708809405,0.015289771608290613,0.7131333840452202
bot,2020-10,10885,93497,1708587.0,0.0014263247935282196,0.008972911534501901,0.7561803993592366
bot,2021-01,15797,166018,2058801.0,0.0018578774733449227,0.01434038549621843,0.7157918613795117
