group,month,agent_months,active_days,hits,block_rate,robots_rate,success_rate
bot,2019-03,363,685,41211.0,0.0002426536604304676,0.00014559219625828057,0.9747640193152314
bot,2019-04,1788,7091,330972.0,0.0005166600195786955,0.001275032329018769,0.9342935354048076
bot,2019-05,4291,21315,734738.0,0.001170485261412912,0.003044622709047307,0.8867174421358361
bot,2019-06,4206,24908,538978.0,0.0020149245423746426,0.007532774992671315,0.8862161349813907
bot,2019-07,4438,21397,370106.0,0.0019588982615791153,0.0058442716410974154,0.8669624377880931
bot,2019-08,4253,21429,378457.0,0.0010437117030468455,0.01230522886351686,0.8921356983752448
bot,2019-09,5007,27615,491822.0,0.0008234686532932646,0.02010686793189406,0.8782872665313873
bot,2019-10,4907,37748,763815.0,0.0009688209841388295,0.020240503263224734,0.8589697767129475
bot,2019-11,4646,35763,625928.0,0.003653774875065503,0.020959279661558517,0.8592122416635779
bot,2019-12,5298,30442,462289.0,0.0021566595787483587,0.02363672940519891,0.8565615880974888
bot,2020-01,6049,42783,685835.0,0.0020413073115253667,0.017230091785925186,0.8444961251612997
bot,2020-02,8252,51761,896651.0,0.001999663191141258,0.019422272433756278,0.8588581287479744
bot,2020-03,7250,55906,1161363.0,0.0037998455263341434,0.02135938548068089,0.8697246252894228
bot,2020-04,8690,67711,1211066.0,0.0034217788295600737,0.017062653893346852,0.8356233268872216
bot,2020-05,8766,77425,1268301.0,0.0037987827810590704,0.015125746963851642,0.8579824505381609
bot,2020-06,7675,82874,1133287.0,0.0038075086010869266,0.017964557962810834,0.8582609700808357
bot,2020-07,11841,108903,1470159.0,0.005305548583520558,0.017657273805078227,0.8432305621364764
bot,2020-08,12037,174044,1391784.0,0.009351307386778408,0.01994059423013916,0.7369088881608066
bot,2020-09,12903,212810,2180313.0,0.003106893368062292,0.015275788384511765,0.7132774055835103
bot,2020-10,10886,93500,1709762.0,0.0014253445801228476,0.00896674507913967,0.756318715704291
bot,2021-01,15800,166045,2684300.0,0.0014521476735089222,0.015863726111090416,0.7635737436203107
