group,month,agent_months,active_days,hits,block_rate,robots_rate,success_rate
bot,2019-03,85,117,419.0,0.0,0.0,0.16467780429594273
bot,2019-04,462,1113,12022.0,0.0013308933621693562,0.0004159041756779238,0.34736316752620194
bot,2019-05,1389,4063,51576.0,0.0030440514968202263,0.00036838839770435863,0.5459709942608966
bot,2019-06,956,3886,30249.0,0.004892723726404179,0.0008264736024331383,0.49360309431716753
bot,2019-07,1377,3744,24098.0,0.004689185824549755,0.0008714416134119014,0.42837579882147897
bot,2019-08,1419,3889,138148.0,0.0035469206937487332,0.0015418247097315923,0.823616700929438
bot,2019-09,1566,4118,82701.0,0.0025029927086734137,0.006565821453186781,0.8689133142283648
bot,2019-10,1418,5292,121797.0,0.000623989096611575,0.00467170784173666,0.8417038186490636
bot,2019-11,1182,4769,100639.0,0.0008942855155555997,0.003398284959111279,0.8236170868152506
bot,2019-12,1136,3996,36416.0,0.0011533391915641475,0.011258787346221441,0.6908501757469244
bot,2020-01,1460,5384,217885.0,0.001349335658719049,0.0040801340156504575,0.8497693737522087
bot,2020-02,1952,6976,561774.0,0.00538472766628573,0.0008757970286983734,0.9112792688874886
bot,2020-03,1565,6756,116773.0,0.0032284860370119803,0.003382631258938282,0.736497306740428
bot,2020-04,1700,9951,245339.0,0.0017445249226580365,0.0016915370161287035,0.7203583612878507
bot,2020-05,1390,8418,104243.0,0.0011991212839231411,0.003770037316654356,0.6773308519516898
bot,2020-06,1118,7241,127851.0,0.0006413715966241953,0.010410556037887854,0.6658923277878155
bot,2020-07,2151,11143,170273.0,0.021718064519918014,0.022452179734896313,0.41197371280238204
bot,2020-08,2228,23191,228415.0,0.01252544710286102,0.023987041131274214,0.33617757152551275
bot,2020-09,2615,27813,351970.0,0.008088757564565162,0.02151887944995312,0.28957013381822316
bot,2020-10,1427,10861,173778.0,0.0037979491074819596,0.02195905120325933,0.22134562487771756
bot,2021-01,3353,26400,803835.0,0.002267878358120759,0.012794914379194736,0.25667207822500887
bot,2021-02,4183,42906,723789.0,0.0016275461494993707,0.018177949651072344,0.1752154288059089
bot,2021-03,3953,37753,269927.0,0.004227068800082986,0.0010447269076454004,0.46746342529646906
bot,2021-04,2766,8476,128215.0,0.004890223452794135,0.00013258979058612487,0.6366259797995555
bot,2021-05,2621,8974,92225.0,0.00723231227975061,0.0003686635944700461,0.6679425318514502
bot,2021-06,2451,7870,102575.0,0.012537167925907873,0.00020472824762369,0.7953984889105532
