group,month,mean_O,n_agents
bot,2019-03,2.585654589710593,337
bot,2019-04,2.9121895512318274,1444
bot,2019-05,2.8442608230477906,3251
bot,2019-06,3.652406330388943,3676
bot,2019-07,3.7179385169508694,3560
bot,2019-08,2.635502467086794,3212
bot,2019-09,2.5459273943987712,4540
bot,2019-10,2.6915347872068436,4455
bot,2019-11,2.5565051634555283,4277
bot,2019-12,2.37368724147186,5001
bot,2020-01,2.3310421472723064,5661
bot,2020-02,2.3913028908470992,7493
bot,2020-03,2.4025944509080044,6702
bot,2020-04,2.4271587076554737,8094
bot,2020-05,3.380920339838607,8129
bot,2020-06,2.0481927021809874,7062
bot,2020-07,2.432917856997936,11225
bot,2020-08,2.1196943228106,11379
bot,2020-09,1.954004061420465,12152
bot,2020-10,1.9723938190761534,10418
bot,2021-01,1.891792994298393,13458
bot,2021-02,1.9159327667603947,15274
bot,2021-03,1.944482645410099,16659
bot,2021-04,2.058781563256743,12128
bot,2021-05,1.9649693702394775,13231
bot,2021-06,2.134476182176804,11742
bot,2021-07,2.0611065321257924,12839
bot,2021-08,2.11913474692461,13198
bot,2021-09,2.18118576548384,14934
bot,2021-10,2.1507445207119407,12344
bot,2021-11,2.3705653573268544,11559
bot,2021-12,2.176849105760273,11447
bot,2022-01,2.1095997176599135,11186
bot,2022-02,2.16091909429059,10204
bot,2022-03,2.1322578512815866,10961
bot,2022-04,2.1334483065915615,15083
bot,2022-05,1.995698328797793,14410
bot,2022-06,2.045096812678355,9245
bot,2022-07,2.1478050231679564,10424
bot,2022-08,2.194739476374346,10419
bot,2022-09,2.173525402124401,11192
bot,2022-10,2.270387454067389,4190
bot,2022-12,3.2409399863790886,6914
bot,2023-01,2.9679533240856033,8240
bot,2023-02,2.925532418404952,7937
bot,2023-03,4.046311632944117,4099
control,2019-03,2.110431837278405,1248
control,2019-04,2.207940384754098,1607
control,2019-05,2.090358456911127,2414
control,2019-06,2.2641619536640536,2192
control,2019-07,2.129981528626124,2153
control,2019-08,1.8996212756753472,2314
control,2019-09,1.9044389221406586,2356
control,2019-10,1.9672460927622057,2491
control,2019-11,1.903792709686022,2429
control,2019-12,1.856632804884898,2247
control,2020-01,1.9383304190520512,2623
control,2020-02,1.924999470211512,2788
control,2020-03,1.7845256918055978,3143
control,2020-04,1.7806443740009508,3225
control,2020-05,1.840564146890333,3372
control,2020-06,1.8283079592379758,3417
control,2020-07,1.850582576234803,3378
control,2020-08,1.8403203862819384,3472
control,2020-09,1.8215787462426103,3403
control,2020-10,1.7907406125300167,3174
control,2021-01,1.8309787365004928,3748
control,2021-02,1.825570722716029,3924
control,2021-03,1.963601663062051,4311
control,2021-04,2.3174785268204006,4000
control,2021-05,1.9619161954303344,4445
control,2021-06,2.111852246812209,3960
control,2021-07,2.1383357597042636,4025
control,2021-08,2.128740816017954,3977
control,2021-09,2.208437048178221,3958
control,2021-10,2.2204041670808476,3935
control,2021-11,2.2778007872177937,3996
control,2021-12,2.0705266966495444,3858
control,2022-01,2.0348756729961113,3884
control,2022-02,2.187028438979059,3780
control,2022-03,2.1352230527281635,3781
control,2022-04,2.1433806270315463,3665
control,2022-05,2.17734659636561,3480
control,2022-06,2.181053612991318,3077
control,2022-07,2.289195027045333,3689
control,2022-08,1.918095954409011,3749
control,2022-09,2.0466286549430808,3627
control,2022-10,2.0126535258176284,2619
control,2022-12,2.400217048830904,3044
control,2023-01,2.349465503845367,3396
control,2023-02,2.265057724252896,3404
control,2023-03,2.851146501998446,2392
