group,month,mean_O,n_agents
bot,2019-03,3.3370658119106853,76
bot,2019-04,3.8204355268788257,314
bot,2019-05,3.8227943637873008,734
bot,2019-06,4.265146009370711,759
bot,2019-07,4.151262250493801,786
bot,2019-08,3.7930714082055763,673
bot,2019-09,3.3544876768153093,1414
bot,2019-10,3.490492934774892,1271
bot,2019-11,3.6673196505871903,1095
bot,2019-12,3.5011558933505014,1075
bot,2020-01,3.307739618236074,1366
bot,2020-02,3.3189119956181248,1718
bot,2020-03,3.3458392233701337,1402
bot,2020-04,3.367448664427138,1550
bot,2020-05,4.234843248749841,1237
bot,2020-06,3.3440508748285995,941
bot,2020-07,3.418708989889405,1933
bot,2020-08,3.1765240355764592,2064
bot,2020-09,2.920916592201912,2363
bot,2020-10,2.9279572994788183,1288
bot,2021-01,2.7953651175246734,2897
bot,2021-02,2.86124027085247,3466
bot,2021-03,2.7425470253558357,3379
bot,2021-04,2.6685494979571267,2369
bot,2021-05,2.7541069207008095,2490
bot,2021-06,2.875964671898158,2308
bot,2021-07,2.8965395544061123,2599
bot,2021-08,2.842148623166655,2701
bot,2021-09,2.844004567198583,3309
bot,2021-10,2.706965828971978,2790
bot,2021-11,2.6652364579975827,2582
bot,2021-12,2.708511956581095,2749
bot,2022-01,2.5872803259689694,2695
bot,2022-02,2.569705993638652,2563
bot,2022-03,2.602229173567664,2530
bot,2022-04,2.773636142026315,3598
bot,2022-05,2.7921486467288927,3588
bot,2022-06,2.558664773257127,2541
bot,2022-07,2.5925476176203186,2577
bot,2022-08,2.646000590142413,2602
bot,2022-09,3.039857824157745,1599
bot,2022-10,2.940164312067154,411
bot,2022-12,3.2906238168030106,730
bot,2023-01,3.8142806964000457,845
bot,2023-02,3.81994933683651,716
bot,2023-03,11.358579950205705,403
control,2019-03,2.77256862980348,6
control,2019-04,2.9248850903016437,23
control,2019-05,2.243950214257637,34
control,2019-06,2.394767214630427,37
control,2019-07,2.250053690226018,39
control,2019-08,2.1153968267377183,41
control,2019-09,2.1492835580407745,43
control,2019-10,2.201976398047825,51
control,2019-11,2.298076073554775,52
control,2019-12,2.087509063137101,56
control,2020-01,1.9910032650561298,65
control,2020-02,1.84917028001674,69
control,2020-03,2.1942623541144406,75
control,2020-04,2.212216607016179,81
control,2020-05,2.0466600487686346,86
control,2020-06,2.07768541057601,90
control,2020-07,2.02577241408556,96
control,2020-08,1.9823051027097773,99
control,2020-09,1.93295580074342,104
control,2020-10,1.8512709395169977,103
control,2021-01,1.92201862032563,128
control,2021-02,1.9222189767724736,135
control,2021-03,1.8960427961020396,170
control,2021-04,2.262970354648143,158
control,2021-05,2.3987396470687457,160
control,2021-06,2.3177877912634277,155
control,2021-07,2.4514487761200443,160
control,2021-08,2.359486920966785,159
control,2021-09,2.4489697770163503,157
control,2021-10,2.4401982206114083,148
control,2021-11,2.5531330761476494,145
control,2021-12,2.2208714410120107,142
control,2022-01,2.101513888010252,141
control,2022-02,2.1789475180882274,134
control,2022-03,2.11532716546301,131
control,2022-04,2.363339367874052,130
control,2022-05,2.36029192813551,119
control,2022-06,2.469688393380033,110
control,2022-07,2.4086812206349544,128
control,2022-08,2.582536610856138,124
control,2022-09,2.267210901694547,115
control,2022-10,2.242177800355607,94
control,2022-12,3.064057321595449,106
control,2023-01,2.8036621552006746,113
control,2023-02,2.510357576568702,107
control,2023-03,2.1045963887268977,79
other,2019-03,4.258289443719728,51
other,2019-04,3.4401806023320063,286
other,2019-05,3.203527764030762,797
other,2019-06,3.77574813852587,585
other,2019-07,4.15078411814685,583
other,2019-08,3.6830192651693894,776
other,2019-09,4.171915808196405,768
other,2019-10,3.967051719150915,838
other,2019-11,4.1318241036743935,807
other,2019-12,4.592286700268754,663
other,2020-01,3.9665380480072963,933
other,2020-02,3.729021733147089,1019
other,2020-03,3.3833404002153844,1267
other,2020-04,3.096661409081731,1346
other,2020-05,3.0973513094520353,1413
other,2020-06,3.3410224834676905,1426
other,2020-07,3.190602371209822,1333
other,2020-08,3.349614010147775,1431
other,2020-09,3.6155123484358898,1360
other,2020-10,3.4092119222094395,1239
other,2021-01,2.6837455094790226,1646
other,2021-02,2.8951657906780968,1690
other,2021-03,2.9105917585126257,1777
other,2021-04,3.7645454992464398,1308
other,2021-05,2.78266703034196,1616
other,2021-06,3.359162534061682,1434
other,2021-07,3.3119998170349674,1511
other,2021-08,3.397001838431559,1461
other,2021-09,3.6804459533731917,1406
other,2021-10,3.689848879384606,1428
other,2021-11,3.414097743214544,1496
other,2021-12,3.378114470365076,1376
other,2022-01,3.2520544958001243,1457
other,2022-02,3.2753564009807024,1421
other,2022-03,3.22903108778022,1455
other,2022-04,3.4348284833638902,1337
other,2022-05,3.6722593818559504,1230
other,2022-06,3.5915385588908073,1054
other,2022-07,3.2898039139040525,1407
other,2022-08,2.967817095540506,1509
other,2022-09,3.021845167144908,1446
other,2022-10,3.059257752168802,1111
other,2022-12,3.536778375658349,1256
other,2023-01,3.5351534551775883,1320
other,2023-02,3.5691257366140836,1347
other,2023-03,3.834582942363474,898
