a_id,group,n_days,mean_O,n_events,d_O,d_O_stealth,frac_retreat
41546,control,780,2.1197392084560978,15,-0.019322379851094595,-0.24572122948834327,0.13333333333333333
41805,control,802,1.9941986534557306,6,0.07003062614839158,0.22573254301646214,0.16666666666666666
41886,control,896,1.5059365263103655,0,,,
42367,control,909,2.029090339286925,7,0.012842316670580667,0.012842316670580667,0.0
44737,control,1065,2.3373011152398635,12,-0.011655729103183993,0.012128630415619101,0.16666666666666666
44870,control,979,2.0163172595075234,21,-0.0733965038321614,-0.40525229584497074,0.23809523809523808
46016,control,661,2.087505518533499,12,-0.017012015475657578,-0.017012015475657578,0.0
46093,control,594,2.1308067941792475,3,-0.25745731681582606,-0.25745731681582606,0.0
47752,control,734,2.1439744423951765,22,0.020562462825615947,0.025387056810607073,0.09090909090909091
48389,control,814,1.9305386612655921,19,-0.056804966370102156,-0.012697996478882215,0.15789473684210525
48832,control,655,2.0184465207470157,15,0.05779527832000191,0.11470902156917838,0.06666666666666667
49819,control,1040,1.4810941124291472,16,0.0759738869724288,0.04731161904037788,0.0625
50314,control,839,1.7053427203398428,12,0.04880422984563065,0.04880422984563065,0.0
50842,control,125,1.9983836701811786,0,,,
51853,control,797,1.8331689783206917,6,-0.014966029940830758,-0.014966029940830758,0.0
52241,control,559,2.0078104391793947,21,0.00685803119229408,-0.039043806230316586,0.14285714285714285
52842,control,824,1.0819947817932287,19,0.0853473046985253,-0.012469520198092221,0.05263157894736842
53301,control,102,2.320762674871216,0,,,
54728,control,826,1.858863821891137,20,-0.010051100431112514,0.026879129457247967,0.05
54730,control,662,2.074466964547388,22,-0.02921806046536994,-0.08219980340838619,0.045454545454545456
55369,control,835,2.1851325927830634,6,0.419078074803249,0.419078074803249,0.0
55646,control,679,2.0363445300150165,9,0.022414427986309216,0.12079189944275176,0.1111111111111111
77835,control,138,2.431796642944099,9,0.05601892218274698,-0.14541084401421725,0.1111111111111111
86410,control,561,1.3118594244754207,0,,,
90420,control,741,1.5636341535643405,9,-0.06322394792059854,-0.005561447861048364,0.2222222222222222
91607,control,144,2.1248856818461648,1,0.25427462121450173,0.25427462121450173,0.0
99238,control,659,3.145779414427562,5,0.3240246048818055,0.08919302594610956,0.2
120176,control,276,3.0538472140660593,3,0.10594552661801233,0.10594552661801233,0.0
124956,control,848,1.450898408110903,5,-0.5526248454304958,-0.5526248454304958,0.0
132101,control,563,1.5261499126179445,10,-0.16881631978965772,-0.16881631978965772,0.0
134587,control,548,1.0198421910215854,2,-0.07530167693401368,-0.07530167693401368,0.0
136473,control,139,2.223790493531337,1,-0.6930224554470921,-0.6930224554470921,0.0
142755,control,1042,1.54200342335521,3,0.12408427128173205,0.12408427128173205,0.0
144036,control,165,2.1738126750242635,2,0.5361253296092989,0.9094732913921755,0.5
147571,control,534,2.3870602558487315,0,,,
163607,control,374,4.485969808298956,3,-0.12999658570579933,0.6711403955837789,0.6666666666666666
172015,control,689,2.092800524319317,1,0.49676747994098536,0.49676747994098536,0.0
172787,control,201,1.778331165106611,0,,,
172877,control,55,1.6669373693869007,0,,,
185590,control,264,1.7174444640820787,0,,,
205653,control,502,0.6700261931232542,0,,,
206631,control,594,1.2445409067319848,0,,,
224936,control,732,8.20012074472783,7,0.7471488642074589,1.0575428209222761,0.2857142857142857
242852,control,479,1.66592658598258,1,-0.04783244562001032,-0.04783244562001032,0.0
244236,control,989,1.7425669171963747,18,-0.09124088117899327,-0.06989152490629914,0.2222222222222222
305484,control,662,1.9413980766151586,13,0.07356869507084779,0.07356869507084779,0.0
311820,control,558,2.66480367947751,0,,,
334159,control,637,2.0819500777919426,6,0.3994583933119415,0.2977675099851761,0.16666666666666666
341235,control,982,1.9152819510718324,3,0.5118936736650269,0.7513489852730582,0.3333333333333333
372518,control,440,3.6627907194209643,1,-0.42623853684409596,-0.42623853684409596,0.0
386626,control,406,0.971783602976192,5,0.18656850961124163,0.39323879911504594,0.2
389622,control,562,2.234597511754263,5,0.11142062434153446,0.11142062434153446,0.0
399612,control,432,1.0212891490791862,18,0.03234489923791495,0.03234489923791495,0.0
400797,control,626,1.3603522698395498,8,0.1476245653991629,0.1476245653991629,0.0
411688,control,564,1.8452587777580522,5,-0.35510418813779143,-0.06143639797102614,0.2
416103,control,874,1.7551631089846254,24,-0.004762435880693981,-0.2304229890208065,0.20833333333333334
427332,control,402,1.908143203439647,1,0.3577729051840719,0.3577729051840719,0.0
438996,control,586,1.1896310116847453,4,-0.023721750403771336,-0.023721750403771336,0.0
452995,control,954,2.6743505353481725,0,,,
467062,control,432,3.8211138208718336,0,,,
467829,control,395,1.7442384635655437,2,0.06567953280834815,0.06567953280834815,0.0
528932,control,375,0.9715843042385959,1,0.23857554858623586,0.23857554858623586,0.0
4992688,control,347,1.664362229202978,2,-0.8478038049129596,-1.0551038349457653,0.5
27281057,control,494,3.818218663897645,3,0.07188022481102285,0.07188022481102285,0.0
60820005,control,929,1.9290355820654026,7,0.12664010049348715,0.29376208796539555,0.14285714285714285
70739134,control,348,1.147227893163979,0,,,
152570996,control,836,2.326060157444465,0,,,
152950980,control,754,1.9601222396260947,22,0.07757798228322416,-0.12608382761206294,0.22727272727272727
157989255,control,477,3.5035316433343358,7,-0.1824972669580245,-0.1824972669580245,0.0
164482463,control,167,1.548398843503472,0,,,
219953046,control,417,2.3178653857347142,5,0.13840284094805694,0.7205302712376009,0.2
223495843,control,651,1.7120331200647227,2,0.1256579892186787,0.1256579892186787,0.0
224157523,control,906,1.8731562381523128,11,0.39119216029113946,0.21778368748512633,0.2727272727272727
224189473,control,668,1.3149122863635445,3,-0.23295717346445188,-0.23295717346445188,0.0
237682854,control,311,2.1619583994109117,0,,,
253405494,control,690,2.5595548665590453,11,0.5590815319685638,1.0782991974708807,0.45454545454545453
303209220,control,327,1.0967621570337376,7,0.19689838876496982,0.19689838876496982,0.0
315836745,control,354,3.7764843257262237,1,-0.3541102111527987,-0.3541102111527987,0.0
363560149,control,559,1.226730226764977,8,-0.03407749209302906,0.041283960837737034,0.125
376168733,control,288,0.7684596955699801,0,,,
379399457,control,842,2.1667434124344314,4,-0.021897847387934988,0.18349754880968336,0.25
424079174,control,519,1.8453801197983273,6,0.11244688041639055,-0.24800158520356813,0.16666666666666666
482827421,control,467,1.954790430011169,2,-0.09225658564580241,-0.09225658564580241,0.0
492498141,control,611,1.7155057359293011,15,0.024250244777948918,0.07289569831375778,0.13333333333333333
496549942,control,819,2.1656382373296394,18,0.09691618891714085,0.15452931043987506,0.2222222222222222
532298668,control,818,1.7458756955357055,25,-0.08836637506719565,-0.059199245866854856,0.04
536422936,control,332,1.674969002639229,6,-0.020640670418493785,-0.020640670418493785,0.0
545788044,control,261,0.9993851625907205,1,-0.3381532105405405,-0.3381532105405405,0.0
599518550,control,336,3.0472488317858497,2,-0.3607800891117454,-0.3607800891117454,0.0
610047597,control,837,0.9404568426692571,3,0.20623880594926733,0.20623880594926733,0.0
621578854,control,438,1.992454189709624,5,0.8759245535395536,0.9594643914468258,0.2
671804639,control,790,2.0852811348178455,7,0.05200212594373716,0.13855397633177832,0.14285714285714285
684833553,control,219,0.7295741155047526,0,,,
702135025,control,209,0.8358378342021198,0,,,
703656949,control,489,2.082585400082764,2,-0.11382242779856244,-0.11382242779856244,0.0
738379012,control,666,1.8577725328334875,16,-0.056558089784676094,-0.06305019611773452,0.1875
770279182,control,806,2.4811003229951623,36,0.07702659085464417,0.16646408123541717,0.08333333333333333
778614891,control,354,1.7245988009260018,0,,,
814812273,control,305,2.006409732185719,2,0.07695646613736168,0.07695646613736168,0.0
878445230,control,756,2.3897106790144083,11,0.4740246297167101,0.6644765189736089,0.18181818181818182
931056605,control,172,1.095617588630653,0,,,
935065722,control,710,2.5812271127428854,19,0.26522276194330424,0.8280373567786123,0.3157894736842105
939605614,control,734,1.9267952973026694,22,-0.02497387758035765,-0.05587096772235798,0.13636363636363635
939834965,control,374,2.4333745503246003,4,0.08316290103630869,0.6965980122340253,0.25
939899657,control,552,1.77911649081225,8,0.1777227219271289,-0.172801727200244,0.25
1032111909,control,67,1.819105903229653,0,,,
1072855280,control,210,1.5756486083447108,1,1.3993163258206458,,1.0
1202921625,control,164,1.7001367397388263,0,,,
1206109632,control,188,1.3520062342902979,0,,,
1216168929,control,223,2.4223455256022346,0,,,
1292733028,control,696,1.875164435245317,6,0.4292189566311775,-0.08082544052754766,0.16666666666666666
1306399505,control,505,1.5780938390224926,0,,,
1392108840,control,680,2.580159685437522,6,-0.2748160777153033,-0.053278666074387894,0.16666666666666666
1392108946,control,557,2.3499617962511454,3,0.01916506662041184,0.01916506662041184,0.0
1392110550,control,225,2.6383565612805624,3,-0.7690355817449864,-0.3947952953664613,0.6666666666666666
1392115226,control,649,1.880455057611369,15,-0.24121628361734077,-0.06912095587271908,0.2
1392116822,control,683,2.5248446957336554,37,-0.07316144431148269,-0.0018826869609624135,0.08108108108108109
1392121344,control,402,4.021446579733729,0,,,
1392123240,control,632,1.7549760336600488,7,-0.007231691272621957,0.3599749153206431,0.2857142857142857
1392127002,control,448,3.5927143944073623,0,,,
1392138525,control,634,1.7208383022946796,13,-0.0034609715246564344,-0.08349275156141968,0.15384615384615385
1392141981,control,510,1.978781363653013,8,0.36819833253884454,0.522291685521186,0.125
1392169660,control,552,1.7325541066516958,19,-0.09622381716644259,-0.25682605711581674,0.15789473684210525
1393227853,control,258,1.3225728009676458,0,,,
1394373887,control,585,1.7153673534299396,19,0.11414530736249388,-0.00716594017402442,0.2631578947368421
1395980024,control,157,2.028417418692048,0,,,
1397145929,control,418,1.6307056598435512,6,0.13314697841959827,0.43942849967338227,0.16666666666666666
1397403191,control,114,1.3371872610463218,0,,,
1402214430,control,181,1.329151269975956,1,0.13358381745968884,0.13358381745968884,0.0
1405621062,control,103,1.343867289541372,0,,,
1411192451,control,287,1.9345731407843823,5,-0.02909198723586113,0.12367291015460163,0.2
1417253430,control,623,2.2905075453676447,6,0.2123490128968375,0.2123490128968375,0.0
1418982164,control,145,1.4750463263992546,0,,,
1419043042,control,625,3.6840722803843664,4,0.06878397778791279,0.06878397778791279,0.0
1451434617,control,525,1.8189344598288026,9,-0.5577828307034163,-0.5577828307034163,0.0
1529507446,control,95,2.903038519580214,0,,,
1537993702,control,234,1.4278908384853877,0,,,
1587928377,control,555,2.1750741102704705,7,0.37676600690233725,0.37676600690233725,0.0
1592771804,control,653,4.9240133878848384,18,0.1094636066984278,0.16896730187704612,0.05555555555555555
1593365570,control,552,2.0813070605045265,17,0.11401195229354985,0.11401195229354985,0.0
1607653276,control,92,1.678162032159608,0,,,
1644150061,control,248,4.5899645133056035,0,,,
1722770762,control,334,1.7824662010038077,11,0.02738042717393249,0.10789789371182205,0.45454545454545453
1771000163,control,542,11.778932954020885,12,3.938971242690039,3.7367607720572735,0.16666666666666666
1771034425,control,507,1.1688877370108706,2,-0.045495633449124606,-0.045495633449124606,0.0
1796419999,control,534,2.083219503354745,5,-0.4416122086345592,-0.09601606338002289,0.2
1854931390,control,265,3.7767308038011054,0,,,
1868410263,control,458,3.8376634911805527,4,0.5753185365118468,0.5753185365118468,0.0
1871183427,control,154,2.0165041984628402,4,0.40286206813652103,0.0670588373920693,0.25
1877990246,control,178,2.475985422895157,0,,,
1878057542,control,64,1.504559408080768,0,,,
1878058290,control,63,1.615934302923921,0,,,
1880247611,control,85,1.3257081020640253,1,-0.6294587182403963,,1.0
1911483289,control,128,1.4540150379194923,1,0.25192418242270165,0.25192418242270165,0.0
1937099979,control,55,2.807627783007294,1,0.5298664881736377,0.5298664881736377,0.0
2004412586,control,536,1.784623814020394,2,-0.07342529183222157,-0.07342529183222157,0.0
2004478653,control,223,2.3702582327796717,5,-0.5491056733114712,-0.2750578757350623,0.4
2004478956,control,397,2.089451819884312,6,-0.3875508002021479,-0.10400597213190649,0.3333333333333333
2004731645,control,338,2.1535217973053435,9,-0.14262795935075712,-0.14262795935075712,0.0
2004780153,control,443,2.777200159672232,8,-0.14107552012396257,-0.14107552012396257,0.0
2004869018,control,206,2.187319996569936,5,-0.35772506401713144,-0.22384818719960642,0.2
2005912533,control,564,2.1405378954341185,2,-0.6839757765676481,-0.7208208951845798,0.5
2006029124,control,126,1.5775143723619698,1,-0.914575504550733,,1.0
2006047477,control,159,1.411359513425634,1,-0.30254408733006977,-0.30254408733006977,0.0
2006068741,control,138,1.611044828737935,0,,,
2006423495,control,203,1.9568365860661583,3,-0.031904563656951414,-0.031904563656951414,0.0
2006604953,control,164,1.944593954807826,2,-0.7139922407110377,-0.439821397439506,0.5
2006718594,control,109,1.5828776636698703,1,-0.15500125037396084,-0.15500125037396084,0.0
2006932256,control,609,0.9053308131182018,0,,,
2009239953,control,138,1.7508464209426213,3,0.2524629147568351,0.2524629147568351,0.0
2009506179,control,342,1.8745221470245363,6,0.2860784466847226,0.2860784466847226,0.0
2011591935,control,81,1.1689360827958497,0,,,
2012330170,control,95,1.5431353288267533,0,,,
2012596130,control,125,1.662368728917348,2,0.12550180838489566,0.12550180838489566,0.0
2016990936,control,80,1.2502946074235566,0,,,
2021783674,control,120,1.3064222348219146,1,-0.6711812967187671,-0.6711812967187671,0.0
2023219812,control,68,1.2356866471965744,3,-0.04626612337778302,-0.04626612337778302,0.0
2026253798,control,92,1.4073185077939843,0,,,
2065926040,control,147,3.081896062278055,5,-0.11138653913431051,0.03080897640991931,0.2
