a_id,role,group,n_days,total_hits,mean_block_rate,mean_robots_rate,ever_robots,n_block_days,n_429_days,robots_trend,block_trend,n_events,d_robots,z_robots,d_loghits,d_p404,firstblock_d_robots
12,ctrl_hpneg,control,1110,136773,0.002303650016587637,0.00020377520377520375,1,31,0,0.0,-1.0,25.0,0.0018095238095238093,0.34283174713025355,0.05503218943454341,0.0046634540201163175,0.0
14,ctrl_hpneg,control,1187,12569,2.477823479855295e-05,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,-0.15851459213959185,0.04794871794871795,0.0
23,ctrl_hpneg,control,714,62740,0.13743527741262243,0.0003298216183370245,1,597,0,0.0,0.0,3.0,0.0,0.0,-0.6245534220677459,0.0691421423398512,
45,ctrl_hpneg,control,278,2710,0.00015387235276235903,0.010591526778577139,1,3,0,0.0,1.0,1.0,0.0,0.0,0.6446620843872135,-0.00909090909090909,0.0
48,ctrl_hpneg,control,1192,159470,0.005939223998851667,0.00034573927191376854,1,168,0,0.0,1.0,13.0,0.0,0.0,0.15103512395366406,0.02538332015789387,0.0
55,ctrl_white,control,1043,98422,0.0025895393441225764,0.04541175066644089,1,38,0,-1.0,0.0,2.0,0.0,0.0,2.05938183163439,0.0042362796737151,0.0
58,ctrl_hpneg,control,1191,93628,0.001510873523807518,0.002696248450771027,1,78,0,1.0,1.0,4.0,0.00024390243902439024,0.011159599838088992,0.4657023235711566,-0.01472935408521496,0.0
71,ctrl_hpneg,control,845,22267,0.002371857801309747,0.00017526988571763281,1,13,0,-1.0,0.0,8.0,0.00013114776435642215,0.01885557430859631,-0.1315523107935419,-0.008698362739908299,
77,ctrl_hpneg,control,1055,54706,0.008013416411907049,0.002015144592881271,1,58,0,0.0,1.0,16.0,0.0125,0.20278075730554687,-0.37737222190893466,-0.008566582349592351,0.0
81,ctrl_hpneg,control,794,41739,7.408504963698325e-05,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.9489515429656641,0.24509408602150537,0.0
92,ctrl_hpneg,control,733,79534,0.005542061625042081,1.065825375170532e-05,1,294,0,0.0,1.0,2.0,0.0,0.0,-0.5678335587064554,-0.00537209935691722,0.0
93,ctrl_white,control,1166,149083,0.002478180453073905,0.0002209054524663444,1,27,1,1.0,1.0,20.0,0.002575757575757576,0.32745151554156343,-0.10017408803525711,0.00407280402056017,0.0
94,ctrl_hpneg,control,669,103328,0.0008178517296750919,0.0,0,70,0,0.0,-1.0,24.0,0.0,0.0,0.06779323497082157,0.0001981322735183529,0.0
99,ctrl_white,control,786,10143,0.005313141477585642,0.0,0,27,0,0.0,0.0,10.0,0.0,0.0,0.3810652669270024,0.015318638432175402,0.0
102,ctrl_white,control,1114,220432,0.01276373304918656,0.0036238962760152516,1,130,0,-1.0,1.0,19.0,-0.0014730965434430348,0.02347990086313218,0.051581654270295985,-0.00043089633933296017,0.00040373609062727936
112,ctrl_hpneg,control,1186,17303,0.000941527845232835,0.0,0,10,0,0.0,1.0,10.0,0.0,0.0,-0.11281892757499926,0.004444444444444444,0.0
113,ctrl_white,control,1063,70272,0.005196575596071401,0.0,0,55,0,0.0,1.0,47.0,0.0,0.0,0.08141213873463429,0.01559256803839771,0.0
120,ctrl_white,control,917,87126,0.0,0.12388943869079973,1,0,0,-1.0,0.0,0.0,,,,,
132,ctrl_hpneg,control,701,46680,1.0165816041405712e-05,0.0,0,3,0,0.0,0.0,3.0,0.0,0.0,0.5552398660243963,0.029334975255965273,0.0
150,ctrl_hpneg,control,925,408616,0.010810961294322675,0.0,0,62,0,0.0,1.0,8.0,0.0,0.0,-0.021544268500598984,0.05044657394249137,0.0
155,ctrl_white,control,845,82378,0.004371254089116109,0.0,0,96,2,0.0,1.0,17.0,0.0,0.0,0.0734551355343473,-0.007406697381350158,0.0
159,ctrl_hpneg,control,1107,227411,0.00607152216360561,0.0006022282445046673,1,247,3,0.0,-1.0,26.0,0.0,0.0,-0.024989795486048627,0.002109427307664313,
175,ctrl_hpneg,control,626,23208,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
180,ctrl_hpneg,control,621,515288,0.0004211103519066432,0.0,0,34,0,0.0,-1.0,11.0,0.0,0.0,0.00906653517739779,0.009864567768469406,0.0
183,ctrl_white,control,309,614,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
189,ctrl_hpneg,control,1054,55433,0.017068466789626282,2.0186523476926804e-05,1,127,0,0.0,1.0,30.0,0.0,0.30594084087592294,0.16915098465658146,0.01281581773521969,0.0
193,ctrl_hpneg,control,646,130300,2.7599235211604982e-05,0.31838570399270033,1,4,0,-1.0,1.0,2.0,-0.01679253652383772,0.36569559347946884,-0.08141300795112194,-0.005336453179866639,-0.0687893175883392
195,ctrl_white,control,1219,391214,0.0008081209561816498,4.941196011992787e-05,1,48,0,0.0,1.0,6.0,0.0,0.0,-0.03676247839170029,0.018276814126283975,0.0
204,ctrl_hpneg,control,511,4407,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
206,ctrl_hpneg,control,228,3059,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
207,ctrl_hpneg,control,1179,245800,0.012657131780866302,7.068136839129205e-05,1,195,0,0.0,1.0,3.0,0.0,0.0,0.005277626301670797,0.10117669275020776,0.0
210,ctrl_hpneg,control,624,13197,0.12321391830483493,0.0,0,594,0,0.0,1.0,6.0,0.0,0.0,0.5171228631629783,-0.004589488735956173,
214,ctrl_hpneg,control,994,99635,0.006131217145761388,0.0,0,29,0,0.0,1.0,21.0,0.0,0.0,0.35280545159440807,-0.01025122681420498,0.0
231,ctrl_hpneg,control,786,234212,0.019122506646802716,0.0,0,175,0,0.0,1.0,1.0,0.0,0.0,-0.01057033450172229,-0.008310086988098986,0.0
241,ctrl_hpneg,control,537,6420,0.0026070763500931097,0.0,0,2,0,0.0,0.0,2.0,0.0,0.0,-0.34618220034785907,-0.07500000000000001,0.0
242,ctrl_hpneg,control,439,6783,0.002277904328018223,0.0,0,2,0,0.0,0.0,2.0,0.0,0.0,0.5372050389896947,0.04466945943305693,0.0
264,ctrl_white,control,455,27550,0.02492340925596995,0.035514545380074584,1,56,2,1.0,1.0,24.0,-0.0428587962962963,0.3205177694617194,-0.16165344279139518,-0.013375037221248248,0.01111111111111111
267,ctrl_hpneg,control,374,33522,0.006692964251471705,0.0,0,8,2,0.0,0.0,4.0,0.0,0.0,0.6153567377361346,0.08675092764378478,0.0
