a_id,role,group,n_days,total_hits,mean_block_rate,mean_robots_rate,ever_robots,n_block_days,n_429_days,robots_trend,block_trend,n_events,d_robots,z_robots,d_loghits,d_p404,firstblock_d_robots
41546,verified_human,control,780,10360,0.01972832722832723,0.0,0,27,0,0.0,1.0,15.0,0.0,0.0,-0.033451356986137534,-0.022746031746031736,0.0
41805,verified_human,control,802,78760,0.006192291792797483,0.0,0,62,0,0.0,1.0,6.0,0.0,0.0,0.19599260593607673,-0.013767998194217132,0.0
41886,verified_human,control,896,80866,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
42367,verified_human,control,909,65504,0.004558064761778315,0.0,0,56,0,0.0,1.0,7.0,0.0,0.0,0.19580228205100442,0.011185381336414845,0.0
44737,verified_human,control,1065,405030,0.011572750637385842,0.006105747746327037,1,93,0,-1.0,0.0,12.0,-0.00021535212880547175,0.06736926349575449,0.06916136605265699,-0.012475436634091971,0.0
44870,verified_human,control,979,93866,0.01105627020750184,0.0,0,36,0,0.0,1.0,21.0,0.0,0.0,0.06354128231190662,-0.006002681085993545,0.0
46016,verified_human,control,661,53741,0.009872976305363447,0.0,0,92,4,0.0,1.0,12.0,0.0,0.0,-0.017298113411783556,-0.004015689577322265,0.0
46093,verified_human,control,594,10849,0.0009687662533190988,7.1290063272916e-05,1,4,0,-1.0,0.0,3.0,0.0,0.0,0.019839671318214142,-0.04879001866301333,0.0
47752,verified_human,control,734,52432,0.005193559766117181,0.0,0,87,13,0.0,1.0,22.0,0.0,0.0,-0.03406462306995708,0.005702570214945863,0.0
48389,verified_human,control,814,59172,0.0012415456425703786,0.0,0,59,0,0.0,0.0,19.0,0.0,0.0,-0.06953739411270599,0.004562625935052717,0.0
48832,verified_human,control,655,49092,0.0017477101047707105,0.0,0,57,1,0.0,1.0,15.0,0.0,0.0,0.07677615140747941,-0.0007394099463076698,0.0
49819,verified_human,control,1040,25123,0.001223126862228837,0.0,0,23,0,0.0,0.0,16.0,0.0,0.0,-0.06498402883873602,0.0025302498125276303,0.0
50314,verified_human,control,839,15505,0.0041212653754488324,0.0,0,18,0,0.0,1.0,12.0,0.0,0.0,0.15997244878922376,0.06604844983856537,0.0
50842,verified_human,control,125,45569,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
51853,verified_human,control,797,29306,0.011875058763404304,0.0,0,72,0,0.0,1.0,6.0,0.0,0.0,0.48913729300591896,0.01090827543270186,0.0
52241,verified_human,control,559,42836,0.007156288463758189,0.0,0,70,0,0.0,1.0,21.0,0.0,0.0,0.024081536799286946,-0.008762972891885514,0.0
52842,verified_human,control,824,52432,0.0014482233025353845,0.0,0,91,0,0.0,1.0,19.0,0.0,0.0,-0.16801851085227376,-0.0024349783476881664,0.0
53301,verified_human,control,102,46175,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
54728,verified_human,control,826,57933,0.0026340009245497927,0.0,0,70,4,0.0,1.0,20.0,0.0,0.0,0.030380944762523,0.001374127623584271,0.0
54730,verified_human,control,662,49414,0.006899669474074437,0.0,0,68,0,0.0,1.0,22.0,0.0,0.0,0.04398740278970267,-0.013134390512669559,0.0
55369,verified_human,control,835,231383,0.0002410693963168647,0.0,0,15,0,0.0,-1.0,6.0,0.0,0.0,0.9528468939126838,0.03484849900158793,0.0
55646,verified_human,control,679,66871,0.004082780261967284,0.0,0,64,1,0.0,1.0,9.0,0.0,0.0,0.0671627850189281,0.001518981389015482,0.0
77835,verified_human,control,138,9300,0.006418209817323367,0.0,0,17,0,0.0,0.0,9.0,0.0,0.0,-0.17346312912906753,0.072107103415534,0.0
