ceiling,width,L_D,human_harm,evasion_prob,observed
0.2,0.05,11899.708914411087,80.2133979552268,0.0,11714.349510385047
0.225,0.05,11813.35401079906,101.52008178708391,0.0,11594.877291763507
0.25,0.05,11744.327408550824,125.33343430504185,0.0,11490.297031051268
0.275,0.05,11606.348544524642,151.65345550910067,0.0,11315.443998199542
0.3,0.05,11471.78524164706,180.48014539926027,0.0,11141.921686538883
0.325,0.05,11288.259650609562,211.8135039755207,0.0,10918.183795891708
0.35,0.05,11125.832611020915,245.65353123788202,0.0,10713.167884675517
0.375,0.05,10907.39246654723,282.0002271863442,0.0,10451.270075357685
0.4,0.05,10695.879781598665,320.8535918209071,0.0,10194.30896746253
0.425,0.05,10463.01697534111,362.21362514157084,0.0,9914.621731197
0.45,0.05,11159.701152219066,406.0803271483355,0.34870034317110715,6368.267778369419
0.475,0.05,11041.24585285154,452.453697841201,0.35538856012468073,6138.491214671209
0.5,0.05,11000.175769974234,501.33373722016734,0.3609856469197463,5997.728828775354
0.525,0.05,10939.288287689213,552.7204452852344,0.3690060338346282,5831.195031062768
0.55,0.05,10862.178923823845,606.6138220364024,0.37566470579030253,5656.336079404642
0.575,0.05,10803.709170915776,663.0138674736713,0.38118267445717435,5513.831349867865
0.6,0.05,10723.483421504901,721.9205815970408,0.3843432027976291,5390.075016187675
0.625,0.05,10671.011928876478,783.3339644065115,0.38857485810383213,5275.841360920467
0.65,0.05,10633.057063539349,847.2540159020828,0.3922350973495006,5173.559399948977
0.675,0.05,10580.131187314411,913.6807360837547,0.39432828095744077,5078.154169397218
0.7,0.05,10542.877469753093,982.6141249515281,0.39732473575627714,4982.535996601679
0.725,0.05,10524.93081308081,1054.0541825054015,0.3987266553029578,4916.690459955756
0.75,0.05,10511.027245730136,1128.000908745376,0.3984994239685717,4872.00408336203
0.775,0.05,10471.677580356822,1204.454303671452,0.39795696429273797,4811.988594889714
0.8,0.05,10449.432437730982,1283.414367283628,0.39613036706415145,4760.57657661862
0.825,0.05,10421.891217442564,1364.8810995819058,0.3952726804105106,4701.051782529794
0.85,0.05,10374.167148823213,1448.8545005662834,0.39125341932952146,4662.561297209899
0.875,0.05,10370.35067998248,1535.334570236762,0.38987458712191814,4617.679277100505
0.9,0.05,10358.775399617232,1624.321308593342,0.3867213639591373,4588.046035763119
0.925,0.08,10352.696685059076,1667.1711156210072,0.3888016599375108,4477.620014488303
0.95,0.08,10343.467003558035,1758.5062753518876,0.38620524573190257,4429.802753572154
0.975,0.08,10345.502502325911,1852.2770393422588,0.38621167867593453,4363.982386760903
1.0,0.08,10341.746915512345,1948.4834075921196,0.38570610317532,4293.694722575481
